Theta1,Theta2,Omega1,Omega2
22,-61,-1.373221623672481,30.301126120893755
23,-39,-8.851660568957534,49.346922058265704
23,-40,-8.392031799158412,48.038866013253745
23,-41,-7.951135866984714,46.79595419885098
23,-42,-7.527597562699678,45.6135759261664
23,-43,-7.1201682418666135,44.487551051674885
23,-44,-6.7277114025179925,43.41408110576925
23,-45,-6.349190183442786,42.38970694012423
23,-46,-5.983656491155577,41.41127190200764
23,-47,-5.630241512881446,40.47588971250879
23,-48,-5.2881474133294635,39.58091636283492
23,-49,-4.956640046037843,38.72392545480984
23,-50,-4.635042537142212,37.90268650353637
23,-51,-4.322729621709596,37.11514579580802
23,-52,-4.019122631213057,36.35940946038946
23,-53,-3.7236850460241486,35.63372845820316
23,-54,-3.435918539551274,34.93648524372336
23,-55,-3.1553594513163508,34.26618188506477
23,-56,-2.8815756352115343,33.62142946062409
23,-57,-2.6141636367138164,33.000938575708965
23,-58,-2.3527461592011396,32.40351086419745
23,-59,-2.0969697849077735,31.828031358584575
23,-60,-1.8465029206409747,31.27346162733979
23,-61,-1.601033942287985,30.738833591770565
23,-62,-1.3602695154816606,30.223243945934218
24,-39,-9.12900672686725,49.90364199051528
24,-40,-8.66620701262941,48.5865617648732
24,-41,-8.222269372459953,47.33507519500546
24,-42,-7.795809109153193,46.14453978322388
24,-43,-7.385568963968056,45.01074654750645
24,-44,-6.990404594295091,43.929870812888765
